"score","review","writer","datetime"
"10","난 스파이더맨의 숙모를 사랑한다  ","신사(jiwo****)","2019.07.02 18:37"
"10","전투씬 미쳤다 진짜 ㄹㅇ  ","대기중(ehdd****)","2019.07.02 18:33"
"10","관람객스파이더 찌리릿의 효과는 굉장했다..  ","qodu****","2019.07.02 18:33"
"10","사랑해요 톰홀랜드 최고촤고  ","영화롭게(ekgo****)","2019.07.02 18:31"
"9","히어로 영화가 현실과 동떨어졌다는 점을 감안하더라도 시장에서 도태된 엑스페리아를 쓴다는 건 진짜 비현실적이다. 소니의 어거지 PPL 때문에 9점.  ","high****","2019.07.02 18:30"
"9","관람객재밋게 잘봤습니다..  ","777(oasi****)","2019.07.02 18:28"
"10","아들이랑 같이 봤는데 너무 재미있게 봤습니다  ","무(hiym****)","2019.07.02 18:26"
"10","진짜 최곱니다 너무재밌네 이거  ","CREXIN(riya****)","2019.07.02 18:23"
"10","별로 기대 안하고 봣는데, 2시간이 어찌 흘러갔는지 모르고 재미있게 봤습니다~  ","사람(ysj7****)","2019.07.02 18:15"
"10","내용은 약간 뜬금없는데 액션은 굿굿  ","얄류우(blue****)","2019.07.02 18:05"
"10","관람객쿠키영상에서 놀래버렸다....  ","돔돔(9gjd****)","2019.07.02 17:54"
"10","마블 솔로무비들은 1보다 2가 더 재밌는듯  ","반찬(raul****)","2019.07.02 17:52"
"10","너무너무너무너무너무너무너무 재밌어요  ","현식(kbnd****)","2019.07.02 17:49"
"10","미스테리오는 진짜조력자일까? 미스테리오는 이름그대로 반전이있는인물이다.  ","박병규(pbk3****)","2019.07.02 17:49"
"10","스탠리 안나오니깐 아쉽더라  ","우루우루(urus****)","2019.07.02 17:48"
"9","나쁘지 않음 캡틴마블보단 재밌고 앤트맨2보다는 별로임 보는데 닥터스트레인지 생각나더라ㅋㅋㅋㅋ  ","브루클린더버거조인트(dls9****)","2019.07.02 17:47"
"10","정말 재밌음 강추함 웹액션 쩜  ","웅치킨(hj_c****)","2019.07.02 17:47"
"9","조조로 보고왔는데 재미는 있었다...하지만 중후반부까지'토니는 죽었어''아이언맨은 없어'...라고....아이언맨 최애인 제 가슴이 무너지게 함...  ","rlat****","2019.07.02 17:47"
"10","소니가 계약연장해주길  ","펠레(shin****)","2019.07.02 17:47"
"10","굿굿 끝나고 나서 드는 생각은 캡틴 아이언맨 없이도 잘 될거 같다라는 생각이든다  ","문어(anst****)","2019.07.02 17:45"
"10","다음 영화가 보고싶어 미칠 듯  ","한(suha****)","2019.07.02 17:44"
"10","졸라 반갑다 데일리 뷰글!  ","jyok****","2019.07.02 17:44"
"10","관람객쿠키영상땜에 벌써 기다려지네요 ㅋ  ","더라이프(govl****)","2019.07.02 17:44"
"9","cg도 좋고 빌런도 좋고 스토리도 좋고 다 좋다  ","하리폿타(ckhm****)","2019.07.02 17:41"
"7","쿠키에서 너무나 반가운 사람 나오고 빌런 능력이나 연출도 아주 좋은데... 어벤저스가 끝나서 그런가? 뭔가 기존의 마블에 비해서 좀 많이 덜한 느낌이다..  ","XZ(ch01****)","2019.07.02 17:41"
"10","여러분 쿠키는 2개입니다. 잊지마세요!!끝까지 앉아계셔야 합니다.엔딩곡이 끝난 것 같다가 끝나지않고, 사람들이 한두명 일어서서 서성일 때도 끝까지!!!돌비로고가 나올 때까지 기다리셔야 합니다.  ","야옹여사(subw****)","2019.07.02 17:41"
"10","이번영화로 스파이더맨 팬으로 입성했습니다.피터찌리릿!!!♡  ","워메(wjdd****)","2019.07.02 17:39"
"10","4DX 꿀잼키키ㅣ키키키킼 피터랑 같이 날아댕기는 기분  ","서웅(seow****)","2019.07.02 17:39"
"10","와 쿠키영상이 대박이다  ","LTSH(tpck****)","2019.07.02 17:38"
"10","ㅋㅋ뒷자리 커플중 남자왈 아니 왜 다 안 나가고 버티고 있는거야? 근데 두번째 쿠키영상 나오니까 와 ㅅㅂ개소름 쟤네 그 캡틴마블 어쩌구~@%*;/@~@%*/~ 여기 말대로 토니스타크가 피터파크를 얼마나 사랑하는지 알 수 있는 영화..  ","MK(kmk0****)","2019.07.02 17:37"
"10","역시 마블.. 앞으로의 행보가 더 기대된다  ","tyj9****","2019.07.02 17:36"
"10","역시 스파이더맨 실망시키지않음!!!^^  ","wtssylelk9610(wtss****)","2019.07.02 17:36"
"10","방금 보고왔는데 개잼 로다주 벌써 그립다ㅠ  ","에이뜨(rlar****)","2019.07.02 17:35"
"10","관람객보는내내 즐거웠어요!  ","고기먹고싶따아(xodj****)","2019.07.02 17:34"
"10","앤드게임이 마블 영화 히어로들의 완벽한 마무리라고 본다면 이 영화는 그 이후 마블의 페이즈를 기대하게 하는 영화입니다. (MJ는 분량도 늘어나고 매력도 늘어나더군요♡)  ","안시성(kss1****)","2019.07.02 17:31"
"9","현실적인 10대 히어로의 모습을 체험하는 영화  ","larc****","2019.07.02 17:31"
"10","관람객저걸 저런식으로 표현한다는거에 놀랏다  ","깡깡이(zkvp****)","2019.07.02 17:26"
"10","아이언맨을 기리며. 스파이더맨보다는 아이언맨이 메인인듯  ","또자쿨쿨(dian****)","2019.07.02 17:25"
